estacion_id,fecha,lluvia_total,temp_media,pet,spei_3,spei_6,spei_12
CAAZ,2000-01-01,144.0000,27.2742,138.7870,,,
CAAZ,2000-02-01,97.6000,26.2655,105.0752,,,
CAAZ,2000-03-01,202.8000,25.2484,127.5153,-0.1725,,
CAAZ,2000-04-01,163.6000,22.5800,100.8036,0.1620,,
CAAZ,2000-05-01,185.8000,17.2161,55.7236,0.8838,,
CAAZ,2000-06-01,203.0000,18.2633,63.2521,1.1921,0.7756,
CAAZ,2000-07-01,41.6000,12.9935,27.5588,0.9605,0.8104,
CAAZ,2000-08-01,97.4000,18.6355,65.4128,0.4633,0.9641,
CAAZ,2000-09-01,176.4000,20.0033,69.2932,0.2872,1.0860,
CAAZ,2000-10-01,304.6000,23.6290,103.4282,1.2276,1.5967,
CAAZ,2000-11-01,111.0000,23.3233,89.9640,1.1767,1.1968,
CAAZ,2000-12-01,109.8000,25.7387,117.0466,0.6160,0.6260,0.9422
CAAZ,2001-01-01,149.8000,26.8645,133.5108,-0.4376,0.6351,0.9756
CAAZ,2001-02-01,169.4000,27.0107,108.9870,-0.1940,0.7484,1.1811
CAAZ,2001-03-01,129.6000,26.5419,144.9207,-0.2429,0.2484,0.9070
CAAZ,2001-04-01,142.6000,23.9167,116.7987,-0.1853,-0.5287,0.7953
CAAZ,2001-05-01,35.0000,17.1903,55.5099,-0.6992,-0.7252,0.3421
CAAZ,2001-06-01,117.7000,17.1933,54.1913,-0.1979,-0.3936,0.1135
CAAZ,2001-07-01,36.9000,18.5968,69.0259,-0.5610,-0.6189,-0.0246
CAAZ,2001-08-01,79.6000,21.6677,96.2344,-0.5359,-0.9924,-0.1699
CAAZ,2001-09-01,126.0000,20.1733,70.8113,-0.5901,-0.6499,-0.3248
CAAZ,2001-10-01,39.6000,23.2839,99.6031,-0.7765,-1.0689,-1.0999
CAAZ,2001-11-01,162.2000,25.2767,110.5395,-0.3323,-0.7148,-1.0093
CAAZ,2001-12-01,108.8000,25.2645,111.6035,-0.7067,-1.0395,-0.9962
CAAZ,2002-01-01,96.4000,25.7613,119.9166,-0.4677,-0.9965,-1.1139
CAAZ,2002-02-01,47.0000,25.3893,93.0089,-1.1378,-1.1442,-1.4278
CAAZ,2002-03-01,122.8000,27.0226,151.7366,-1.3356,-1.5856,-1.4679
CAAZ,2002-04-01,204.0000,23.8100,115.4693,-0.5434,-0.8242,-1.2831
CAAZ,2002-05-01,250.4000,21.0871,93.6706,0.6230,-0.3306,-0.7588
CAAZ,2002-06-01,134.4000,17.0900,53.3611,1.1626,0.0412,-0.7068
CAAZ,2002-07-01,121.4000,15.8194,45.6157,1.1026,0.4596,-0.3860
CAAZ,2002-08-01,157.6000,20.1645,80.0507,0.7153,0.9516,-0.1050
CAAZ,2002-09-01,192.8000,20.0333,69.5596,0.9250,1.5201,0.0985
CAAZ,2002-10-01,234.8000,23.6710,103.8989,1.1878,1.6720,0.6719
CAAZ,2002-11-01,245.4000,24.3067,99.9993,1.4957,1.6316,0.9548
CAAZ,2002-12-01,106.6000,26.0387,120.5721,0.8551,1.2858,0.9210
CAAZ,2003-01-01,188.6000,26.6387,130.6558,0.4824,1.2192,1.1675
CAAZ,2003-02-01,145.0000,25.9929,98.7767,-0.0704,1.1011,1.4473
CAAZ,2003-03-01,69.8000,25.7581,134.2115,-0.3766,0.3561,1.3396
CAAZ,2003-04-01,131.8000,22.4167,98.9468,-0.5364,-0.0625,1.1707
CAAZ,2003-05-01,11.6000,19.1613,73.2980,-1.2954,-1.0312,0.5114
CAAZ,2003-06-01,119.0000,20.5900,85.9875,-0.6049,-0.7999,0.3671
CAAZ,2003-07-01,27.4000,17.1258,55.8943,-1.0271,-1.2314,0.0544
CAAZ,2003-08-01,64.8000,16.5290,48.1126,-0.4942,-1.3851,-0.1275
CAAZ,2003-09-01,65.4000,20.9433,77.9404,-0.7963,-1.1173,-0.5322
