estacion_id,Nombre_Completo,latitud,longitud,region
MCAL,Aeropuerto de Mariscal Estigarribia,-22.03,-60.62,Occidental
PTOC,Puerto Casado,-22.16,-57.94,Occidental
PJC,Aeródromo de Pedro Juan Caballero,-22.64,-55.83,Oriental
PCOL,Pozo Colorado,-23.5,-58.79,Occidental
CONC,Aeródromo de Concepción,-23.44,-57.43,Oriental
GBRU,Gral. José María Bruguez,-24.74,-58.84,Occidental
SPED,Aeródromo de San Pedro del Ycuamandyyú,-24.03,-57.02,Oriental
SEST,San Estanislao,-24.67,-56.46,Oriental
SGUA,Aeródromo de Salto del Guairá,-24.03,-54.35,Oriental
LUQUE,Aeropuerto Internacional Silvio Pettirossi,-25.24,-57.51,Oriental
VILL,Villarrica del Espiritu Santo,-25.75,-56.44,Oriental
COVIE,Coronel Oviedo,-25.52,-56.41,Oriental
MINGA,Aeropuerto Internacional Guaraní Minga Guazú,-25.5,-54.77,Oriental
PILAR,Aeródromo de Pilar,-26.88,-58.32,Oriental
SJBA,San Juan Bautista,-26.67,-57.13,Oriental
CAAZ,Caazapá,-26.17,-56.36,Oriental
CMEZA,Base Aérea de Capitán Meza,-26.83,-55.33,Oriental
ENCAR,Encarnación,-27.34,-55.87,Oriental
